category,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label
2a,0.15611500957203564,0.0004097966525234065,0.0006834206114284474,0.024348033921780587,0.008586014467233798,0.00311987956398763,0.0035351491216435624,0.00191546319626598,0.3729687083333333,0.6067886458333335,0.19461685208333332,1.3938846666666669,0.31166725,0.027403966666666668,0.837524020833333,0.9549832708333332,0.3567806520833333,0.3110348958333333,0.35813175,0.3197132916666667,0.44246762083333335,0.9309804583333336,0.2267205041666667,0.4227395625000001,1.676706458333333,0.2291503375,0.3380319875000001,0.3308534166666666,0.5659917916666667,0.50008375,0.5467116041666668,1.11986775,0.4971119020833334,0.8797066041666667,0.5561249166666665,0.3661331875,0.8490327708333333,0.4173248958333333,1.6536435354166668,0.6901596499999999,0.6171624166666666,0.6482777291666667,1.5947219999999998,1.339606375,0.4818523791666665,1.510645645833333,0.8436080000000001,0.5519833958333332,0.4179490833333333,0.5370995416666667,0.3552900625000001,1.3374772291666666,1.310706291666667,0.7988828541666666,1.4081477083333336,0.9882996666666668,0.6886148333333334,0.9563339583333332,1.15220725,0.6649773541666667,1.788340604166667,0.8755074791666658,1.8510268958333331,0
2a,0.21004255138275887,0.0004097966525233996,0.0006834206114284349,0.02434803392178059,0.008586014467233812,0.00311987956398762,0.0035351491216435546,0.001915463196265984,0.21859584003431853,0.6067886458333335,0.19461685208333332,1.3938846666666669,0.31166725,0.02740396666666666,0.837524020833333,0.9549832708333332,0.3567806520833333,0.3110348958333333,0.35813175,0.3197132916666667,0.44246762083333335,0.9309804583333336,0.2267205041666667,0.4227395625000001,1.676706458333333,0.2291503375,0.3380319875000001,0.3308534166666666,0.5659917916666667,0.50008375,0.5467116041666668,1.11986775,0.4971119020833334,0.8797066041666667,0.5561249166666665,0.3661331875,0.8490327708333333,0.4173248958333333,1.6536435354166668,0.6901596499999999,0.6171624166666666,0.6482777291666667,1.5947219999999998,1.339606375,0.4818523791666665,1.510645645833333,0.8436080000000001,0.5519833958333332,0.4179490833333333,0.5370995416666667,0.3552900625,1.3374772291666666,1.3107062916666667,0.7988828541666666,1.4081477083333336,0.9882996666666668,0.6886148333333334,0.9563339583333332,1.1522072500000002,0.6649773541666667,1.788340604166667,0.8755074791666658,1.8510268958333331,1
2a,0.10376239221410903,0.0004746888036743281,0.0006151292025071795,0.01438132216914985,0.006301711356107661,0.002110676705282251,0.002942308482237949,0.0016918091788978814,0.7388331458333334,0.7744308958333335,0.12438673125,1.704978166666666,0.5842970208333332,0.023901285416666657,0.8197137083333333,0.9840542083333332,0.4484833291666667,0.4979387083333333,0.3402651041666666,0.30558291666666665,0.5454558520833334,0.8484164166666668,0.1278674375,0.3046229375000001,1.5782423541666668,0.2151321,0.2939671312500001,0.4927219375,0.5216207708333335,0.3889368541666667,0.5196156874999999,0.8134184375000001,0.4965889999999999,0.6743897708333334,0.5915593750000001,0.4338368125000001,0.4637058333333333,0.4060333958333333,0.7618523541666665,0.68456745625,0.4429471458333332,0.5924345416666666,1.463908604166667,1.00405975,0.32919283749999995,1.3775421875000002,0.8429206874999999,0.354229125,0.43565816666666657,0.4861836041666666,0.4887601458333334,1.762591625,0.7250758749999998,0.659919125,1.7768607500000009,0.9326054375,0.7778284375000001,0.8302234791666666,0.9994194791666664,0.8173674999999999,1.9794110416666664,0.16358972916666667,0.9405848333333332,0
2a,0.184039026228058,0.00047468880367431863,0.0006151292025071933,0.014381322169149875,0.006301711356107673,0.002110676705282256,0.002942308482237947,0.0016918091788978885,0.43302788826534216,0.7744308958333335,0.12438673125,1.704978166666666,0.5842970208333332,0.02390128541666666,0.8197137083333333,0.9840542083333332,0.4484833291666667,0.4979387083333333,0.3402651041666666,0.30558291666666665,0.5454558520833334,0.8484164166666668,0.1278674375,0.3046229375000001,1.5782423541666668,0.2151321,0.2939671312500001,0.4927219375,0.5216207708333335,0.3889368541666667,0.5196156874999999,0.8134184375000001,0.4965889999999999,0.6743897708333334,0.5915593750000001,0.4338368125000001,0.4637058333333333,0.4060333958333333,0.7618523541666667,0.68456745625,0.4429471458333332,0.5924345416666666,1.463908604166667,1.00405975,0.32919283749999995,1.3775421875000002,0.8429206874999999,0.354229125,0.43565816666666657,0.4861836041666666,0.4887601458333333,1.762591625,0.7250758749999998,0.659919125,1.7768607500000009,0.9326054375,0.7778284374999999,0.8302234791666666,0.9994194791666664,0.8173674999999999,1.9794110416666664,0.16358972916666667,0.9405848333333334,1
2a,0.09541157670882887,0.0008272231062455438,0.0006609644134424759,0.008089539748830218,0.0038298990054341287,0.0016390078133436574,0.00207546628942149,0.0009653409883798038,0.9416803958333336,0.7803063124999999,0.4820324375,0.264692125,0.387007125,0.22052047916666676,0.7120842083333335,1.0399175625,0.5395258541666667,0.26480374999999995,0.9679209791666664,1.3570806875,0.8257469375,1.3844488749999997,0.8337110000000001,0.9449079583333332,0.5600912291666666,0.017693487500000004,0.4965070416666666,0.67813825,0.9330960833333334,0.43260572916666656,1.2629856249999998,1.3080295625,0.5726954791666666,1.0560433125000002,1.440393125,0.4745555625,0.23640431875,1.2704549374999998,0.6894043333333334,0.6284236041666666,0.3181704583333334,0.31582061250000004,0.3272783479166667,0.5829577291666668,0.7383269583333333,0.67358925,0.12040838750000005,0.4631170208333333,1.1720549791666663,0.6787701458333332,1.4500581875,1.2286483125,0.476321375,0.328663375,0.4464919583333332,1.0114113541666665,0.4899627083333333,0.10158956666666667,0.4232856875,0.210226125,0.7361736041666666,0.47625249999999997,0.5989497291666667,0
2a,0.19092543348699006,0.000827223106245532,0.0006609644134424929,0.008089539748830225,0.003829899005434125,0.0016390078133436765,0.0020754662894214714,0.000965340988379786,0.9416803958333336,0.4655819060513238,0.4820324375,0.264692125,0.387007125,0.22052047916666676,0.7120842083333335,1.0399175625,0.5395258541666667,0.26480374999999995,0.9679209791666664,1.3570806875,0.8257469375,1.3844488749999997,0.8337110000000001,0.9449079583333332,0.5600912291666666,0.017693487500000004,0.4965070416666666,0.67813825,0.9330960833333334,0.43260572916666656,1.2629856249999998,1.3080295625,0.5726954791666666,1.0560433125,1.4403931249999995,0.4745555625,0.23640431875,1.2704549374999996,0.6894043333333334,0.6284236041666665,0.3181704583333334,0.31582061250000004,0.3272783479166667,0.5829577291666668,0.7383269583333333,0.67358925,0.12040838750000005,0.4631170208333333,1.1720549791666663,0.6787701458333332,1.4500581875,1.2286483125,0.476321375,0.328663375,0.4464919583333332,1.0114113541666665,0.4899627083333333,0.10158956666666667,0.4232856875,0.210226125,0.7361736041666668,0.47625249999999997,0.5989497291666667,1
2a,0.08391188783277814,0.0008800144138249598,0.000749993971737337,0.008507978671198057,0.0034283111882862857,0.0017709453874880574,0.0013991375599574894,0.0006313944236040217,1.5478973125000002,0.8039528958333334,0.415676875,0.20631529166666665,0.21902310000000005,0.30933741666666664,0.8333957708333335,1.4143702708333334,0.4038734166666666,0.32276599999999994,1.2781964791666671,0.8400109375000001,0.9543656666666672,2.2378033541666675,0.8654371666666666,0.9601795208333332,0.4550352916666667,0.07510598125,1.0425096875,0.4128804374999999,0.8724577708333333,0.3419040625,0.6782741250000001,0.8147362708333333,0.6586479374999997,1.0084226041666666,1.2969528541666666,0.3937070416666666,0.25168002291666675,1.1158555833333337,0.7325012708333332,0.876250125,0.3303136249999999,0.402002275,0.34772581249999995,0.9347460833333332,0.5588069999999999,0.43637575,0.12311300416666665,0.7071445416666666,1.0214175208333334,0.5627382083333333,0.8659394583333334,0.630224,0.413136375,0.3636980833333332,0.4384032083333333,1.1508988125,0.5279224166666667,0.21970652708333333,0.3889492083333335,0.24746010416666664,0.4329125625,0.4722458541666667,0.5882584583333333,0
2a,0.17313621630923595,0.0008800144138249623,0.000749993971737336,0.008507978671198057,0.003428311188286287,0.0017709453874880828,0.001399137559957478,0.0006313944236040151,1.5478973125000002,0.479691008032906,0.415676875,0.20631529166666665,0.21902310000000005,0.30933741666666664,0.8333957708333336,1.4143702708333334,0.4038734166666666,0.32276599999999994,1.2781964791666671,0.8400109375000001,0.9543656666666672,2.2378033541666675,0.8654371666666663,0.9601795208333332,0.4550352916666667,0.07510598125000001,1.0425096875,0.4128804374999999,0.8724577708333333,0.3419040625,0.6782741250000001,0.8147362708333333,0.6586479374999997,1.0084226041666666,1.2969528541666666,0.3937070416666666,0.25168002291666675,1.1158555833333337,0.7325012708333332,0.876250125,0.3303136249999999,0.402002275,0.34772581249999995,0.9347460833333332,0.5588069999999999,0.43637575,0.12311300416666665,0.7071445416666666,1.0214175208333334,0.5627382083333333,0.8659394583333334,0.630224,0.413136375,0.3636980833333332,0.4384032083333333,1.1508988125,0.5279224166666667,0.2197065270833333,0.3889492083333335,0.24746010416666664,0.4329125625,0.4722458541666667,0.5882584583333333,1
2a,0.07554615243926792,0.000759656497512958,0.0006864291456850418,0.006800517047831013,0.003274616514193659,0.0016326646720377395,0.0018109176141637374,0.000820364465100755,1.5653938541666663,1.06774425,0.4518590833333334,0.2114962916666667,0.3082450937499999,0.19189318750000006,0.8917033749999997,1.0827846041666669,0.3981795,0.2792513541666667,1.0848364583333334,0.8496887708333333,0.9589899583333334,1.18302925,1.131417291666667,1.0758596874999995,0.44601333333333343,0.13792049583333338,0.8810032916666669,0.4226605000000001,1.1011225416666666,0.38280949999999997,0.7677351666666667,0.9587354166666664,0.6240051458333333,0.9119300833333336,1.3587315833333335,0.4786911250000001,0.34006872291666673,1.1061918958333334,0.7623255416666667,0.6223803958333333,0.33059818750000003,0.34723607500000003,0.3563076041666666,0.7739306250000001,0.6293930208333334,0.4716305,0.3055313479166667,0.4489892916666666,0.8718096666666667,0.3722162291666666,1.1953010416666667,0.4781460208333333,0.31423587499999994,0.3409298125,0.4620297291666666,0.8549527500000003,0.42290377083333336,0.2378490250000001,0.41462045833333344,0.22027258333333333,0.3617027499999999,0.6360922708333333,0.8527862916666664,0
2a,0.1753599930685006,0.0007596564975129697,0.0006864291456850437,0.006800517047830999,0.003274616514193668,0.0016326646720377649,0.0018109176141637387,0.0008203644651007497,1.5653938541666663,0.6370862251487182,0.4518590833333334,0.2114962916666667,0.3082450937499999,0.19189318750000006,0.8917033749999997,1.0827846041666669,0.3981795,0.2792513541666667,1.0848364583333334,0.8496887708333333,0.9589899583333334,1.18302925,1.131417291666667,1.0758596874999995,0.44601333333333343,0.1379204958333334,0.8810032916666669,0.4226605000000001,1.1011225416666666,0.38280949999999997,0.7677351666666667,0.9587354166666664,0.6240051458333334,0.9119300833333336,1.3587315833333335,0.4786911250000001,0.34006872291666673,1.1061918958333334,0.7623255416666667,0.6223803958333333,0.3305981874999999,0.34723607500000003,0.3563076041666666,0.7739306250000001,0.6293930208333334,0.4716305,0.30553134791666664,0.4489892916666666,0.8718096666666669,0.3722162291666667,1.1953010416666667,0.4781460208333333,0.31423587499999994,0.3409298125,0.4620297291666666,0.8549527500000002,0.42290377083333336,0.2378490250000001,0.41462045833333344,0.22027258333333333,0.3617027499999999,0.6360922708333333,0.8527862916666665,1
